explain	설명하다
symbol	상징/ 징표
theme	주제
repeat	반복하다
part	부분
certain	특정한
appropriate	적절한
fill in the blank	빈 칸 채우기
based on	~에 기반하여
choose	선택하다
predict	예상하다 / 예측하다
main idea	중심 생각 / 핵심 생각
purpose	목적
best	최고의
question	질문
according to	~에 따르면
article	문서 / 글
information	정보
similar to	~와 비슷한
different from	~와 다른
support	지지하다 / 지원하다
opinion	의견
detail	세부사항 / 자세한 설명
paragraph	문단
tell us	말해줘 / 알려줘
recall	기억해내다
contrast	대조하다
infer	추론하다
context clue	문맥 단서
familiar word	익숙한 단어
next	다음
complete	완성하다
definition	정의
reference	참조 / 참고
sentence	문장
meaning	의미
identify	식별하다 / 알아보다
text	글 / 본문
describe	묘사하다 / 설명하다
order	순서
selection	선택지
beginning	시작
end	끝
passage	글 / 단락
writer	작가 / 저자
author	저자 / 글쓴이
event	사건
problem	문제
mainly	주로
analysis	분석
choose two	두 개 선택하기
writing	쓰기
